Track Name,Artist Name,Album Name
Wann wird's mal wieder richtig Sommer,Rudi Carrell,
You Can Call Me Al,Paul Simon,
Start Me Up,The Rolling Stones,
The Twist,Chubby Checker,
Blurred Lines,Robin Thicke feat. T.I. & Pharrell Williams,
Hangover,"Taio Cruz, Flo Rida",
One More Time,Daft Punk,
China In Your Hand,T'Pau,
The Best,Tina Turner,
The Hustle,Van McCoy & The Soul City Symphony,
Piece of My Heart,Erma Franklin,
Hungry Eyes,Eric Carmen,
Karma Chameleon,Culture Club,
99 Luftballons,Nena,
Beinhart,Torfrock,
In Da Club,50 Cent,
Don't Go,Yazoo,
I Wanna Dance with Somebody (Who Loves Me),Whitney Houston,
7 Years,Lukas Graham,
Sugar-Baby,Peter Kraus,
Lean On (feat. MØ),Major Lazer & DJ Snake,
Einmal um die Welt,CRO,
Ich will keine Schokolade,Trude Herr,
80 Millionen,Max Giesinger,
Friday I'm In Love,The Cure,
What Is Love,Haddaway,
Auf uns,Andreas Bourani,
Don't Stop Believin',Journey,
Orinoco Flow,Enya,
Über den Wolken,Reinhard Mey,
Rehab,Amy Winehouse,
Liebeskummer lohnt sich nicht,Siw Malmkvist,
You Make Me Feel (Mighty Real),Sylvester,
Sweet Home Alabama,Lynyrd Skynyrd,
He Ain't Heavy He's My Brother,The Hollies,
Eine neue Liebe ist wie ein neues Leben,Jürgen Marcus,
Manic Monday,The Bangles,
Paradise By the Dashboard Light,Meat Loaf,
Never Ending Story,Limahl,
Under the Bridge,Red Hot Chili Peppers,
König von Deutschland,Rio Reiser,
Upside Down,Diana Ross,
Don't Speak,No Doubt,
(I Can't Get No) Satisfaction,The Rolling Stones,
Dilemma (feat. Kelly Rowland) Nelly,Kelly Rowland,
Lola,The Kinks,
Captain Jack,Captain Jack,
True Colors,Cyndi Lauper,
Hey Ya!,Outkast,
Guajira Guantanamera,Joseito Fernandez,
Sick and Tired,Anastacia,
If You Leave Me Now,Chicago,
"Siebzehn Jahr, blondes Haar",Udo Jürgens,
Murder On The Dancefloor,Sophie Ellis-Bextor,
Sing Hallelujah!,Dr. Alban,
Set Fire to the Rain,Adele,
Herz an Herz,Blümchen,
Tage Wie diese,Die Toten Hosen,
Sweet Caroline,Neil Diamond,
Do Wah Diddy Diddy,Manfred Mann,
Über sieben Brücken musst du gehn,Karat,
Don't Leave Me This Way,Thelma Houston,
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,
Do You Know? (The Ping Pong Song),Enrique Iglesias,
Warum?,Tic Tac Toe,
Gimme Hope Jo'Anna,Eddy Grant,
Wind of Change,Scorpions,
Le Freak,CHIC,
Haus am See,Peter Fox,
Poker Face,Lady Gaga,
It's a Heartache,Bonnie Tyler,
Johnny B. Goode,Chuck Berry,
White Wedding,Billy Idol,
"Rigoletto: """"La Donna E' Mobile""""",Enrico Caruso,
Without You (feat. Sandro Cavazza),"Avicii, Sandro Cavazza",
Volare (Nel Blu di Pinto di Blu),Gipsy Kings,
Ca plane pour moi,Plastic Bertrand,
Born to Be Alive,Patrick Hernandez,
Whole Lotta Love,Led Zeppelin,
Ein Kompliment,Sportfreunde Stiller,
In the Mood,Glenn Miller,
Wahnsinn,Wolfgang Petry,
Counting Stars,OneRepublic,
Dragostea din tei,O-Zone,
Everybody Hurts,R.E.M.,
Just Give Me a Reason (feat. Nate Ruess),"Pink, Nate Ruess",
Joyride,Roxette,
(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,
Bette Davis Eyes,Kim Carnes,
Lambada,Kaoma,
Ain't Nobody,"Rufus, Chaka Khan",
Have You Ever Seen The Rain,Creedence Clearwater Revival,
(I've Had) The Time of My Life,"Bill Medley, Jennifer Warnes",
Piu bella cosa,Eros Ramazzotti,
No Son Of Mine,Genesis,
Happy,Pharrell Williams,
Wonderwall,Oasis,
You Can't Hurry Love,The Supremes,
Gold Digger,"Kanye West, Jamie Foxx",
Ich will Spass,Markus,
Lady - Hear Me Tonight,Modjo,
She Drives Me Crazy,Fine Young Cannibals,
Heimweh (Dort wo die Blumen blüh'n),Freddy Quinn,
Moskau,Dschinghis Khan,
Cotton Eye Joe,Rednex,
I Can Help,Billy Swan,
Dancing In the Dark,Bruce Springsteen,
Day-O (The Banana Boat Song),Harry Belafonte,
Ich will 'nen Cowboy als Mann,Gitte Haenning,
Wrecking Ball,Miley Cyrus,
Jailhouse Rock,Elvis Presley,
Good Golly Miss Molly,Little Richard,
The Ketchup Song,Las Ketchup,
"Relax, Take It Easy",MIKA,
I'm a Believer,The Monkees,
Schuld war nur der Bossa Nova,Manuela,
I Love It (feat. Charli XCX),"Icona Pop, Charli XCX",
World Hold on (Children of the Sky),Bob Sinclair,
Born To Be Wild,Steppenwolf,
Valerie (feat. Amy Winehouse),"Mark Ronson, Amy Winehouse",
(What A) Wonderful World,Sam Cooke,
Männer,Herbert Grönemeyer,
You Get What You Give,New Radicals,
Mama,Heintje,
My Heart Will Go On,Celine Dion,
Dancing On The Ceiling,Lionel Richie,
Give It Up,KC & The Sunshine Band,
Feel,Robbie Williams,
How You Remind Me,Nickelback,
Got My Mind Set On You,George Harrison,
Verdammt lch lieb' dich,Matthias Reim,
I Like To Move It,Reel 2 Real,
Don't You Want Me,The Human League,
Westerland,Die Ärzte,
Every Breath You Take,The Police,
Bitter Sweet Symphony,The Verve,
Gettin' Jiggy Wit It,Will Smith,
Barbie Girl,Aqua,
Pack Die Badehose Ein,Cornelia Froboess,
Torn,Natalie Imbruglia,
The Wanderer,Dion,
La Bamba,Ritchie Valens,
Moves Like Jagger,"Maroon 5, Christina Aguilera",
Atemlos durch die Nacht,Helene Fischer,
Stop,Spice Girls,
If You Had My Love,Jennifer Lopez,
More Than a Feeling,Boston,
Disco Inferno,The Trammps,
"MIEF! (Nimm mich jetzt, auch wenn ich stinke)",Die Doofen,
Sweet Child O' Mine,Guns N' Roses,
Your Song,Elton John,
Congratulations,Cliff Richard,
You're So Vain,Carly Simon,
Easy,Commodores,
Forever Young,Alphaville,
Maneater,Daryl Hall & John Oates,
Rock Me Amadeus,Falco,
I Got You Babe,Sonny & Cher,
Junge,Die Ärzte,
Everywhere,Fleetwood Mac,
Zombie,The Cranberries,
Barbra Streisand,Duck Sauce,
No One,Alicia Keys,
I Knew You Were Waiting (For Me),"George Michael, Aretha Franklin",
"December, 1963 (Oh What a Night!)",Frankie Valli & The Four Seasons,
4 Minutes (feat. Justin Timberlake and Timbaland),Madonna,
Autobahn,Kraftwerk,
She's A Lady,Tom Jones,
Killing Me Softly With His Song,Fugees,
Oops!...I Did It Again,Britney Spears,
Nur noch kurz die Welt retten,Tim Bendzko,
Whatcha Say,Jason Derulo,
Abenteuerland,Pur,
Talk,Coldplay,
Somebody That I Used to Know (feat. Kimbra),Gotye,
Fast Car,Tracy Chapman,
The Living Years,Mike + The Mechanics,
Ab in den Süden,Buddy,
The Boy Is Mine,Brandy & Monica,
All I Have to Do Is Dream,The Everly Brothers,
Surfin' U.S.A.,The Beach Boys,
Whole Again,Atomic Kitten,
Right Here Waiting,Richard Marx,
Geboren um zu leben,Unheilig,
Die Nacht von Freitag auf Montag,SDP feat. Sido,
Fallin',Alicia Keys,
Genie In A Bottle,Christina Aguilera,
Euphoria,Loreen,
Africa,TOTO,
At The Hop,Danny & The Juniors,
Mr. Vain,Culture Beat,
Sweet Dreams (Are Made Of This),"Eurythmics, Annie Lennox, Dave Stewart",
Don't Dream It's Over,Crowded House,
Purple Rain,Prince,
All of Me,John Legend,
Schöner fremder Mann,Connie Francis,
Love Is All Around,Wet Wet Wet,
Gangsta's Paradise,Coolio feat. L.V.,
See You Later Alligator,Bill Haley & His Comets,
Jump Around,House Of Pain,
Nothing Compares 2 U,Sinéad O'Connor,
Engel,Rammstein,
Because of You,Kelly Clarkson,
Du trägst keine Liebe in dir,Echt,
Part-Time Lover,Stevie Wonder,
Walk Of Life,Dire Straits,
All That She Wants,Ace of Base,
Alles nur geklaut,Die Prinzen,
Waterloo,ABBA,
Heaven,Bryan Adams,
Durch den Monsun,Tokio Hotel,
The Locomotion,Little Eva,
Smells Like Teen Spirit,Nirvana,
Fly Away,Lenny Kravitz,
Smalltown Boy,Bronski Beat,
Ring of Fire,Johnny Cash,
These Boots Are Made for Walkin',Nancy Sinatra,
Price Tag ft. B.o.B,Jessie J,
Itsy Bitsy Teenie Weenie Honolulu Strand Bikini,"Caterina Valente, Silvio Francesco",
Informer,Snow,
Das Beste,Silbermond,
Celebration,Kool & The Gang,
Believe,Cher,
Knock On Wood,Amii Stewart,
Mercy,Duffy,
We Are Family,Sister Sledge,
In the Summertime,Mungo Jerry,
Return of the Mack,Mark Morrison,
Zuckerpuppe (Aus der Bauchtanz-Truppe),Bill Ramsey,
Nah Neh Nah,Vaya Con Dios,
Emanuela,Fettes Brot,
Skandal im Sperrbezirk,Spider Murphy Gang,
It's My Life,Bon Jovi,
Ganz Paris Träumt Von Der Liebe,Caterina Valente,
Crazy In Love (feat. Jay-Z),Beyoncé,
Die Gitarre und das Meer,Freddy Quinn,
Save Tonight,Eagle-Eye Cherry,
Holding Back the Years,Simply Red,
Die Eine,Die Firma,
1000 und 1 Nacht,Klaus Lage,
"Marmor, Stein und Eisen bricht",Drafi Deutscher,
Why,Annie Lennox,
Under Pressure,"Queen, David Bowie",
Numb / Encore,"JAY-Z, Linkin Park",
Good Vibrations,The Beach Boys,
Ain't That A Shame,Fats Domino,
Das Boot,U96,
Praise You,Fatboy Slim,
Could I Have This Kiss Forever,"Enrique Iglesias, Whitney Houston",
Major Tom (Völlig lösgelöst),Peter Schilling,
Where Is The Love?,Black Eyed Peas,
It Wasn't Me,"Shaggy, Rik Rok",
It's In The Kiss (The Shoop Shoop Song),Betty Everett,
I Got You (I Feel Good),James Brown & The Famous Flames,
Lonely,Akon,
Super Freak,Rick James,
Tränen lügen nicht,Michael Holm,
When a Man Loves a Woman,Percy Sledge,
Blue Bayou,Linda Ronstadt,
Jolene,Dolly Parton,
Like a Prayer,MadHouse,
That's Amore,Dean Martin,
Piano Man,Billy Joel,
Er hat ein knallrotes Gummiboot,Wencke Myhre,
Space Oddity,David Bowie,
Scars To Your Beautiful,Alessia Cara,
Get Back,The Beatles,
Waka Waka (This Time for Africa) ft. Freshlyground,Shakira,
Let's Stick Together,Bryan Ferry,
Put Your Records On,Corinne Bailey Rae,
Ice Ice Baby,Vanilla Ice,
When I Need You,Leo Sayer,
Vom selben Stern,Ich + Ich,
"Hey, Soul Sister",Train,
Can't Help Falling in Love,Elvis Presley,
Call on Me,Eric Prydz,
I Heard It Through The Grapevine,Marvin Gaye,
Ein Bett Im Kornfeld,Jürgen Drews,
Dancing in the Moonlight,Toploader,
Escape (The Pina Colada Song),Rupert Holmes,
Thunder,Imagine Dragons,
"Oh, Pretty Woman",Roy Orbison,
Lollipop,The Chordettes,
No Woman No Cry,Bob Marley & The Wailers,
Respect,Aretha Franklin,
You Can Get It If You Really Want,Jimmy Cliff,
Wooly Bully,Sam The Sham & The Pharaohs,
Fireflies,Owl City,